ex_date,pay_date,amount
2003-12-22,2004-01-02,0.077016
2003-12-31,2004-01-07,0.013445
2004-12-23,2004-12-30,0.268104
2005-12-23,2005-12-30,0.329175
2006-12-20,2006-12-29,0.524171
2007-12-24,2008-01-04,0.648931
2008-06-25,2008-06-30,0.517255
2008-12-23,2008-12-31,0.340423
2009-06-23,2009-06-29,0.247284
2009-12-22,2009-12-31,0.322891
2009-12-29,2010-01-06,0.012012
2010-06-23,2010-06-29,0.261603
2010-12-21,2010-12-30,0.359415
2010-12-29,2011-01-05,0.025122
2011-06-22,2011-06-28,0.460916
2011-12-20,2011-12-29,0.346963
2012-06-21,2012-06-28,0.468357
2012-12-18,2012-12-27,0.262327
2012-12-27,2013-01-03,0.014234
2013-06-27,2013-07-05,0.492599
2013-12-18,2013-12-30,0.365778
2014-06-25,2014-07-02,0.340630
2014-12-17,2014-12-24,0.535021
2015-06-25,2015-07-01,0.301252
2015-12-21,2015-12-28,0.500839
2016-06-22,2016-06-28,0.265983
2016-12-21,2016-12-28,0.396208
2017-06-20,2017-06-26,0.191711
2017-12-19,2017-12-26,0.696547
2018-06-19,2018-06-25,0.289868
2018-12-18,2018-12-24,0.583789
2019-06-17,2019-06-21,0.311437
2019-12-16,2019-12-20,0.929022
2020-06-15,2020-06-19,0.230289
2020-12-14,2020-12-18,0.518894
2021-06-10,2021-06-16,0.240811
2021-12-13,2021-12-17,0.706827
2021-12-30,2022-01-05,0.026007
2022-06-09,2022-06-15,0.361869
2022-12-13,2022-12-19,0.584321
2023-06-07,2023-06-13,0.310139
2023-12-20,2023-12-27,0.748036
2024-06-11,2024-06-17,0.289856
2024-12-17,2024-12-20,0.727370
2025-06-16,2025-06-20,0.451600
2025-12-16,2025-12-19,0.763266
2026-06-15,2026-06-18,0.350802
