ex_date,pay_date,amount
2001-10-02,2001-10-11,0.055300
2001-12-24,2002-01-04,0.027467
2002-12-23,2003-01-02,0.627462
2003-12-22,2004-01-02,0.522510
2004-12-23,2004-12-30,0.803085
2005-12-23,2005-12-30,1.109693
2006-12-21,2006-12-28,1.533457
2007-12-24,2008-01-04,2.000182
2008-06-25,2008-06-30,1.308320
2008-12-23,2008-12-31,0.541115
2009-06-23,2009-06-29,0.945188
2009-12-22,2009-12-31,0.495735
2010-06-23,2010-06-29,0.858631
2010-12-21,2010-12-30,0.538194
2011-06-22,2011-06-28,1.140993
2011-12-20,2011-12-29,0.569228
2012-06-21,2012-06-28,1.149092
2012-12-18,2012-12-27,0.609522
2013-06-27,2013-07-05,1.151504
2013-12-18,2013-12-30,0.551711
2014-06-25,2014-07-02,1.676205
2014-12-17,2014-12-24,0.585180
2015-06-25,2015-07-01,1.111288
2015-12-21,2015-12-28,0.508359
2016-06-22,2016-06-28,1.174823
2016-12-21,2016-12-28,0.596173
2017-06-20,2017-06-26,1.061731
2017-12-19,2017-12-26,0.742566
2018-06-19,2018-06-25,1.353546
2018-12-18,2018-12-24,0.637990
2019-06-17,2019-06-21,1.376123
2019-12-16,2019-12-20,0.775802
2020-06-15,2020-06-19,0.857737
2020-12-14,2020-12-18,0.694495
2021-06-10,2021-06-16,1.101810
2021-12-13,2021-12-17,1.352231
2021-12-30,2022-01-05,0.163147
2022-06-09,2022-06-15,1.497565
2022-12-13,2022-12-19,0.268433
2023-06-07,2023-06-13,1.311353
2023-12-20,2023-12-27,0.930719
2024-06-11,2024-06-17,1.392822
2024-12-17,2024-12-20,1.057170
2025-06-16,2025-06-20,1.519422
2025-12-16,2025-12-19,1.727900
2026-06-15,2026-06-18,1.636388
