ex_date,pay_date,amount
2007-05-01,2007-05-07,0.293205
2007-06-01,2007-06-07,0.585509
2007-07-02,2007-07-09,0.602618
2007-08-01,2007-08-07,0.630162
2007-09-04,2007-09-10,0.622897
2007-10-01,2007-10-05,0.645244
2007-11-01,2007-11-07,0.679908
2007-12-03,2007-12-07,0.642346
2007-12-27,2008-01-03,0.565046
2008-02-01,2008-02-07,0.663838
2008-03-03,2008-03-07,0.615903
2008-04-01,2008-04-07,0.641537
2008-05-01,2008-05-07,0.567656
2008-06-02,2008-06-06,0.634146
2008-07-01,2008-07-08,0.650602
2008-08-01,2008-08-07,0.663435
2008-09-02,2008-09-08,0.620000
2008-10-01,2008-10-07,0.690000
2008-11-03,2008-11-07,0.690000
2008-12-01,2008-12-05,0.697500
2008-12-29,2009-01-02,0.524328
2009-02-02,2009-02-06,0.753309
2009-03-02,2009-03-06,0.718722
2009-04-01,2009-04-07,0.805538
2009-05-01,2009-05-07,0.590589
2009-06-01,2009-06-05,0.714641
2009-07-01,2009-07-08,0.724742
2009-08-03,2009-08-07,0.708500
2009-09-01,2009-09-08,0.702530
2009-10-01,2009-10-07,0.704580
2009-11-02,2009-11-06,0.703360
2009-12-01,2009-12-07,0.622002
2009-12-29,2010-01-05,0.579882
2010-02-01,2010-02-05,0.662821
2010-03-01,2010-03-05,0.646328
2010-04-01,2010-04-08,0.657779
2010-05-03,2010-05-07,0.640354
2010-06-01,2010-06-07,0.642720
2010-07-01,2010-07-08,0.623270
2010-08-02,2010-08-06,0.599080
2010-09-01,2010-09-08,0.625182
2010-10-01,2010-10-07,0.586951
2010-11-01,2010-11-05,0.601374
2010-12-01,2010-12-07,0.588122
2010-12-28,2011-01-04,0.576649
2011-02-01,2011-02-07,0.588577
2011-03-01,2011-03-07,0.578724
2011-04-01,2011-04-07,0.569620
2011-05-02,2011-05-06,0.572948
2011-06-01,2011-06-07,0.565706
2011-07-01,2011-07-08,0.581518
2011-08-01,2011-08-05,0.550728
2011-09-01,2011-09-08,0.563357
2011-10-03,2011-10-07,0.538266
2011-11-01,2011-11-07,0.526252
2011-12-01,2011-12-07,0.549011
2011-12-27,2012-01-04,0.534717
2012-02-01,2012-02-07,0.506808
2012-03-01,2012-03-07,0.536719
2012-04-02,2012-04-09,0.545118
2012-05-01,2012-05-07,0.508819
2012-06-01,2012-06-07,0.542130
2012-07-02,2012-07-09,0.517894
2012-08-01,2012-08-07,0.504700
2012-09-04,2012-09-10,0.508289
2012-10-01,2012-10-05,0.485084
2012-11-01,2012-11-07,0.510521
2012-12-03,2012-12-07,0.489004
2012-12-26,2013-01-02,0.505021
2013-02-01,2013-02-07,0.499338
2013-03-01,2013-03-07,0.505988
2013-04-01,2013-04-05,0.488403
2013-05-01,2013-05-07,0.468136
2013-06-03,2013-06-07,0.479088
2013-07-01,2013-07-08,0.479705
2013-08-01,2013-08-07,0.453073
2013-09-03,2013-09-09,0.479987
2013-10-01,2013-10-07,0.444772
2013-11-01,2013-11-07,0.450162
2013-12-02,2013-12-06,0.450014
2013-12-26,2014-01-02,0.467268
2014-02-03,2014-02-07,0.461521
2014-03-03,2014-03-07,0.463278
2014-04-01,2014-04-07,0.445395
2014-05-01,2014-05-07,0.423375
2014-06-02,2014-06-06,0.429424
2014-07-01,2014-07-08,0.415042
2014-08-01,2014-08-07,0.430910
2014-09-02,2014-09-08,0.429902
2014-10-01,2014-10-07,0.390842
2014-11-03,2014-11-07,0.404133
2014-12-01,2014-12-05,0.416849
2014-12-24,2014-12-31,0.386117
2015-02-02,2015-02-06,0.364891
2015-03-02,2015-03-06,0.393188
2015-04-01,2015-04-08,0.405613
2015-05-01,2015-05-07,0.402436
2015-06-01,2015-06-05,0.401837
2015-07-01,2015-07-08,0.394715
2015-08-03,2015-08-07,0.396117
2015-09-01,2015-09-08,0.383356
2015-10-01,2015-10-07,0.398339
2015-11-02,2015-11-06,0.393805
2015-12-01,2015-12-07,0.398102
2015-12-24,2015-12-31,0.423831
2016-02-01,2016-02-05,0.391057
2016-03-01,2016-03-07,0.418705
2016-04-01,2016-04-07,0.379276
2016-05-02,2016-05-06,0.381919
2016-06-01,2016-06-07,0.401580
2016-07-01,2016-07-08,0.396762
2016-08-01,2016-08-05,0.383153
2016-09-01,2016-09-08,0.371158
2016-10-03,2016-10-07,0.385741
2016-11-01,2016-11-07,0.385810
2016-12-01,2016-12-07,0.380679
2016-12-22,2016-12-29,0.285592
2017-02-01,2017-02-07,0.382193
2017-03-01,2017-03-07,0.383935
2017-04-03,2017-04-07,0.372582
2017-05-01,2017-05-05,0.374516
2017-06-01,2017-06-07,0.377176
2017-07-03,2017-07-10,0.377439
2017-08-01,2017-08-07,0.367690
2017-09-01,2017-09-08,0.370312
2017-10-02,2017-10-06,0.365010
2017-11-01,2017-11-07,0.365597
2017-12-01,2017-12-07,0.372268
2017-12-21,2017-12-28,0.360762
2018-02-01,2018-02-07,0.366280
