ex_date,pay_date,amount
2002-09-03,2002-09-12,0.289974
2002-10-01,2002-10-10,0.257889
2002-11-01,2002-11-12,0.294645
2002-12-02,2002-12-11,0.520384
2002-12-31,2003-01-10,0.416421
2003-02-03,2003-02-12,0.277735
2003-03-03,2003-03-12,0.240134
2003-04-01,2003-04-10,0.248666
2003-05-01,2003-05-12,0.341751
2003-06-02,2003-06-11,0.244234
2003-07-01,2003-07-11,0.240300
2003-08-01,2003-08-12,0.252948
2003-09-02,2003-09-11,0.275762
2003-10-01,2003-10-10,0.274101
2003-11-03,2003-11-12,0.279262
2003-12-01,2003-12-10,0.266210
2003-12-31,2004-01-12,0.278685
2004-02-02,2004-02-06,0.255378
2004-03-01,2004-03-05,0.251129
2004-04-01,2004-04-07,0.255518
2004-05-03,2004-05-07,0.267875
2004-06-01,2004-06-07,0.279430
2004-07-01,2004-07-08,0.273455
2004-08-02,2004-08-06,0.272748
2004-09-01,2004-09-08,0.266277
2004-10-01,2004-10-07,0.257450
2004-11-01,2004-11-05,0.265239
2004-12-01,2004-12-07,0.262392
2004-12-31,2005-01-06,0.271451
2005-02-01,2005-02-07,0.261271
2005-03-01,2005-03-07,0.230853
2005-04-01,2005-04-07,0.279119
2005-05-02,2005-05-06,0.267478
2005-06-01,2005-06-07,0.263566
2005-07-01,2005-07-08,0.263511
2005-08-01,2005-08-05,0.270574
2005-09-01,2005-09-08,0.274393
2005-10-03,2005-10-07,0.277188
2005-11-01,2005-11-07,0.287716
2005-12-01,2005-12-07,0.283480
2005-12-28,2006-01-06,0.291872
2006-02-01,2006-02-07,0.263520
2006-03-01,2006-03-07,0.267073
2006-04-03,2006-04-07,0.260258
2006-05-01,2006-05-05,0.293988
2006-06-01,2006-06-07,0.294288
2006-07-03,2006-07-10,0.312173
2006-08-01,2006-08-07,0.319344
2006-09-01,2006-09-08,0.311585
2006-10-02,2006-10-06,0.315666
2006-11-01,2006-11-07,0.308354
2006-12-01,2006-12-07,0.304142
2006-12-27,2007-01-05,0.239297
2007-02-01,2007-02-07,0.311091
2007-03-01,2007-03-07,0.274746
2007-04-02,2007-04-09,0.321919
2007-05-01,2007-05-07,0.314451
2007-06-01,2007-06-07,0.329226
2007-07-02,2007-07-09,0.313321
2007-08-01,2007-08-07,0.322098
2007-09-04,2007-09-10,0.333602
2007-10-01,2007-10-05,0.310130
2007-11-01,2007-11-07,0.296534
2007-12-03,2007-12-07,0.295346
2007-12-27,2008-01-03,0.313169
2008-02-01,2008-02-07,0.280643
2008-03-03,2008-03-07,0.280063
2008-04-01,2008-04-07,0.310872
2008-05-01,2008-05-07,0.279997
2008-06-02,2008-06-06,0.307167
2008-07-01,2008-07-08,0.291827
