ex_date,pay_date,amount
1993-03-19,1993-04-30,0.213191
1993-06-18,1993-07-30,0.318020
1993-09-17,1993-10-31,0.286187
1993-12-17,1994-01-31,0.287239
1994-03-18,1994-04-29,0.271177
1994-06-17,1994-07-29,0.304976
1994-09-16,1994-10-31,0.288180
1994-12-16,1995-01-31,0.362730
1995-03-17,1995-04-28,0.268220
1995-06-16,1995-07-31,0.316210
1995-09-15,1995-10-31,0.312260
1995-12-15,1996-01-31,0.372000
1996-03-15,1996-04-30,0.285450
1996-06-21,1996-07-31,0.350940
1996-09-20,1996-10-31,0.351940
1996-12-20,1997-01-31,0.406810
1997-03-21,1997-04-30,0.299258
1997-06-20,1997-07-31,0.349953
1997-09-19,1997-10-31,0.348355
1997-12-19,1998-01-31,0.379504
1998-03-20,1998-04-30,0.313421
1998-06-19,1998-07-31,0.352010
1998-09-18,1998-10-30,0.358530
1998-12-18,1999-01-29,0.391823
1999-03-19,1999-04-30,0.319853
1999-06-18,1999-07-30,0.404970
1999-09-17,1999-10-29,0.372218
1999-12-17,2000-01-31,0.347552
2000-03-17,2000-04-28,0.370823
2000-06-16,2000-07-31,0.348408
2000-09-15,2000-10-31,0.375319
2000-12-15,2001-01-31,0.411330
2001-03-16,2001-04-30,0.315510
2001-06-15,2001-07-31,0.346440
2001-09-21,2001-10-31,0.369000
2001-12-21,2002-01-31,0.392770
2002-03-15,2002-04-30,0.330980
2002-06-21,2002-07-31,0.353370
2002-09-20,2002-10-31,0.378100
2002-12-20,2003-01-31,0.435840
2003-03-21,2003-04-30,0.354380
2003-06-20,2003-07-31,0.360250
2003-09-19,2003-10-31,0.400060
2003-12-19,2004-01-30,0.515590
2004-03-19,2004-04-30,0.394760
2004-06-18,2004-07-30,0.413760
2004-09-17,2004-10-29,0.468780
2004-11-15,2004-12-02,0.351020
2004-12-17,2005-01-31,0.567890
2005-03-18,2005-04-29,0.467090
2005-06-17,2005-07-29,0.487620
2005-09-16,2005-10-31,0.521690
2005-12-16,2006-01-31,0.671670
2006-03-17,2006-04-28,0.519470
2006-06-16,2006-06-16,0.555470
2006-09-15,2006-10-31,0.579340
2006-12-15,2007-01-31,0.792650
2007-03-16,2007-04-30,0.551270
2007-06-15,2007-07-31,0.655600
2007-09-21,2007-10-31,0.718720
2007-12-21,2008-01-31,0.775410
2008-03-20,2008-04-30,0.641950
2008-06-20,2008-07-31,0.669220
2008-09-19,2008-10-31,0.690920
2008-12-19,2009-01-30,0.719340
2009-03-20,2009-04-30,0.561430
2009-06-19,2009-07-31,0.518190
2009-09-18,2009-10-30,0.508330
2009-12-18,2010-01-29,0.590190
2010-03-19,2010-04-30,0.480380
2010-06-18,2010-07-30,0.531280
2010-09-17,2010-10-29,0.602130
2010-12-17,2011-01-31,0.652760
2011-03-18,2011-04-29,0.553320
2011-06-17,2011-07-29,0.627620
2011-09-16,2011-10-31,0.624954
2011-12-16,2012-01-31,0.770130
2012-03-16,2012-04-30,0.613890
2012-06-15,2012-07-31,0.688260
2012-09-21,2012-10-31,0.779450
2012-12-21,2013-01-31,1.021830
2013-03-15,2013-04-30,0.693720
2013-06-21,2013-07-31,0.839120
2013-09-20,2013-10-31,0.837950
2013-12-20,2014-01-31,0.980250
2014-03-21,2014-04-30,0.824610
2014-06-20,2014-07-31,0.936690
2014-09-19,2014-10-31,0.939190
2014-12-19,2015-01-30,1.134920
2015-03-20,2015-04-30,0.930810
2015-06-19,2015-07-31,1.030070
2015-09-18,2015-10-30,1.033430
2015-12-18,2016-01-29,1.211550
2016-03-18,2016-04-29,1.049604
2016-06-17,2016-07-29,1.078442
2016-09-16,2016-10-31,1.082068
2016-12-16,2017-01-31,1.328930
2017-03-17,2017-04-28,1.033118
2017-06-16,2017-07-31,1.183108
2017-09-15,2017-10-31,1.234574
2017-12-15,2018-01-31,1.351333
2018-03-16,2018-04-30,1.096775
2018-06-15,2018-07-31,1.245568
2018-09-21,2018-10-31,1.322611
2018-12-21,2019-01-31,1.435429
2019-03-15,2019-04-30,1.233119
2019-06-21,2019-07-31,1.431640
2019-09-20,2019-10-31,1.383619
2019-12-20,2020-01-31,1.569992
2020-03-20,2020-04-30,1.405559
2020-06-19,2020-07-31,1.366242
2020-09-18,2020-10-30,1.339224
2020-12-18,2021-01-29,1.580000
2021-03-19,2021-04-30,1.277788
2021-06-18,2021-07-30,1.375875
2021-09-17,2021-10-29,1.428117
2021-12-17,2022-01-31,1.636431
2022-03-18,2022-04-29,1.366009
2022-06-17,2022-07-29,1.576871
2022-09-16,2022-10-31,1.596398
2022-12-16,2023-01-31,1.781400
2023-03-17,2023-04-28,1.506204
2023-06-16,2023-07-31,1.638367
2023-09-15,2023-10-31,1.583169
2023-12-15,2024-01-31,1.906073
2024-03-15,2024-04-30,1.594937
2024-06-21,2024-07-31,1.759024
2024-09-20,2024-10-31,1.745531
2024-12-20,2025-01-31,1.965548
2025-03-21,2025-04-30,1.695528
2025-06-20,2025-07-31,1.761117
2025-09-19,2025-10-31,1.831114
2025-12-19,2026-01-30,1.993368
2026-03-20,2026-04-30,1.796999
2026-06-18,2026-07-31,1.903516
