ex_date,pay_date,amount
2002-09-03,2002-09-12,0.372608
2002-10-01,2002-10-10,0.342703
2002-11-01,2002-11-12,0.388845
2002-12-02,2002-12-11,0.389457
2002-12-31,2003-01-10,0.446294
2003-02-03,2003-02-12,0.307552
2003-03-03,2003-03-12,0.340316
2003-04-01,2003-04-10,0.377929
2003-05-01,2003-05-12,0.472992
2003-06-02,2003-06-11,0.398398
2003-07-01,2003-07-11,0.352885
2003-08-01,2003-08-12,0.377986
2003-09-02,2003-09-11,0.371994
2003-10-01,2003-10-10,0.366883
2003-11-03,2003-11-12,0.347956
2003-12-01,2003-12-10,0.417814
2003-12-31,2004-01-12,0.399746
2004-02-02,2004-02-06,0.358102
2004-03-01,2004-03-05,0.355580
2004-04-01,2004-04-07,0.347980
2004-05-03,2004-05-07,0.325098
2004-06-01,2004-06-07,0.321509
2004-07-01,2004-07-08,0.335988
2004-08-02,2004-08-06,0.329892
2004-09-01,2004-09-08,0.350117
2004-10-01,2004-10-07,0.360744
2004-11-01,2004-11-05,0.366197
2004-12-01,2004-12-07,0.354582
2004-12-31,2005-01-06,0.335089
2005-02-01,2005-02-07,0.344605
2005-03-01,2005-03-07,0.282300
2005-04-01,2005-04-07,0.330000
2005-05-02,2005-05-06,0.330000
2005-06-01,2005-06-07,0.349237
2005-07-01,2005-07-08,0.331562
2005-08-01,2005-08-05,0.345073
2005-09-01,2005-09-08,0.334216
2005-10-03,2005-10-07,0.361832
2005-11-01,2005-11-07,0.396520
2005-12-01,2005-12-07,0.390141
2005-12-28,2006-01-06,0.382544
2006-02-01,2006-02-07,0.320538
2006-03-01,2006-03-07,0.319738
2006-04-03,2006-04-07,0.328359
2006-05-01,2006-05-05,0.329741
2006-06-01,2006-06-07,0.332227
2006-07-03,2006-07-10,0.326719
2006-08-01,2006-08-07,0.342056
2006-09-01,2006-09-08,0.350154
2006-10-02,2006-10-06,0.353682
2006-11-01,2006-11-07,0.345447
2006-12-01,2006-12-07,0.342126
2006-12-27,2007-01-05,0.302586
2007-02-01,2007-02-07,0.355292
2007-03-01,2007-03-07,0.342642
2007-04-02,2007-04-09,0.326029
2007-05-01,2007-05-07,0.324018
2007-06-01,2007-06-07,0.337552
2007-07-02,2007-07-09,0.325687
2007-08-01,2007-08-07,0.340514
2007-09-04,2007-09-10,0.361787
2007-10-01,2007-10-05,0.344759
2007-11-01,2007-11-07,0.393768
2007-12-03,2007-12-07,0.375887
2007-12-27,2008-01-03,0.361737
2008-02-01,2008-02-07,0.328821
2008-03-03,2008-03-07,0.347943
2008-04-01,2008-04-07,0.406145
2008-05-01,2008-05-07,0.336369
2008-06-02,2008-06-06,0.326633
2008-07-01,2008-07-08,0.331740
2008-08-01,2008-08-07,0.332485
2008-09-02,2008-09-08,0.340000
2008-10-01,2008-10-07,0.290000
2008-11-03,2008-11-07,0.370000
2008-12-01,2008-12-05,0.355000
2008-12-29,2009-01-02,0.405125
2009-02-02,2009-02-06,0.285250
2009-03-02,2009-03-06,0.282150
2009-04-01,2009-04-07,0.302131
2009-05-01,2009-05-07,0.296682
2009-06-01,2009-06-05,0.305428
2009-07-01,2009-07-08,0.303319
2009-08-03,2009-08-07,0.318484
2009-09-01,2009-09-08,0.307474
2009-10-01,2009-10-07,0.307272
2009-11-02,2009-11-06,0.308313
2009-12-01,2009-12-07,0.306588
2009-12-29,2010-01-05,0.318184
2010-02-01,2010-02-05,0.324788
2010-03-01,2010-03-05,0.289643
2010-04-01,2010-04-08,0.331670
2010-05-03,2010-05-07,0.320037
2010-06-01,2010-06-07,0.325851
2010-07-01,2010-07-08,0.309534
2010-08-02,2010-08-06,0.324422
2010-09-01,2010-09-08,0.322248
2010-10-01,2010-10-07,0.392226
2010-11-01,2010-11-05,0.319415
2010-12-01,2010-12-07,0.339774
2010-12-28,2011-01-04,0.320400
2011-02-01,2011-02-07,0.319952
2011-03-01,2011-03-07,0.296885
2011-04-01,2011-04-07,0.385824
2011-05-02,2011-05-06,0.400095
2011-06-01,2011-06-07,0.352000
2011-07-01,2011-07-08,0.319659
2011-08-01,2011-08-05,0.325165
2011-09-01,2011-09-08,0.322448
2011-10-03,2011-10-07,0.305898
2011-11-01,2011-11-07,0.299457
2011-12-01,2011-12-07,0.289835
2011-12-27,2012-01-04,0.379859
2012-02-01,2012-02-07,0.288793
2012-03-01,2012-03-07,0.266781
2012-04-02,2012-04-09,0.290002
2012-05-01,2012-05-07,0.283496
2012-06-01,2012-06-07,0.262652
2012-07-02,2012-07-09,0.268819
2012-08-01,2012-08-07,0.272515
2012-09-04,2012-09-10,0.271734
2012-10-01,2012-10-05,0.259682
2012-11-01,2012-11-07,0.269553
2012-12-03,2012-12-07,0.244823
2012-12-26,2013-01-02,0.268250
2013-02-01,2013-02-07,0.260183
2013-03-01,2013-03-07,0.253853
2013-04-01,2013-04-05,0.255129
2013-05-01,2013-05-07,0.260567
2013-06-03,2013-06-07,0.275080
2013-07-01,2013-07-08,0.251607
2013-08-01,2013-08-07,0.269976
2013-09-03,2013-09-09,0.279034
2013-10-01,2013-10-07,0.277724
2013-11-01,2013-11-07,0.287864
2013-12-02,2013-12-06,0.309998
2013-12-26,2014-01-02,0.334675
2014-02-03,2014-02-07,0.275563
2014-03-03,2014-03-07,0.263277
2014-04-01,2014-04-07,0.280222
2014-05-01,2014-05-07,0.269307
2014-06-02,2014-06-06,0.293841
2014-07-01,2014-07-08,0.291796
2014-08-01,2014-08-07,0.299803
2014-09-02,2014-09-08,0.271016
2014-10-01,2014-10-07,0.289366
2014-11-03,2014-11-07,0.290003
2014-12-01,2014-12-05,0.276557
2014-12-24,2014-12-31,0.261293
2015-02-02,2015-02-06,0.279020
2015-03-02,2015-03-06,0.252090
